,model,year,transmission,mileage,fuelType,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
3376, C Class,2018,Automatic,22078,Diesel,2.1,1,0,0,0,1,0,0,0,19399
3377, C Class,2010,Manual,137291,Diesel,2.1,0,1,0,0,1,0,0,0,4294
3378, C Class,2010,Automatic,58535,Diesel,2.1,1,0,0,0,1,0,0,0,6994
3379, C Class,2015,Automatic,42000,Diesel,2.1,1,0,0,0,1,0,0,0,16975
3380, C Class,2015,Automatic,29000,Petrol,1.6,1,0,0,0,0,0,0,1,12750
3381, C Class,2016,Automatic,19299,Hybrid,2.0,1,0,0,0,0,1,0,0,19999
3382, C Class,2018,Automatic,34008,Diesel,2.1,1,0,0,0,1,0,0,0,19999
3383, C Class,2016,Automatic,93948,Diesel,2.1,1,0,0,0,1,0,0,0,12459
3384, C Class,2014,Automatic,50179,Diesel,2.1,1,0,0,0,1,0,0,0,10699
3385, C Class,2017,Automatic,50212,Diesel,1.6,1,0,0,0,1,0,0,0,17599
3386, C Class,2018,Automatic,22027,Diesel,2.0,1,0,0,0,1,0,0,0,22199
3387, C Class,2018,Automatic,38169,Diesel,2.1,1,0,0,0,1,0,0,0,17999
3388, C Class,2016,Manual,65548,Diesel,1.6,0,1,0,0,1,0,0,0,11999
3389, C Class,2006,Automatic,86000,Petrol,3.5,1,0,0,0,0,0,0,1,3200
3390, C Class,2017,Automatic,33368,Diesel,2.1,1,0,0,0,1,0,0,0,16999
3391, C Class,2017,Manual,47106,Diesel,1.6,0,1,0,0,1,0,0,0,14999
3392, C Class,2013,Manual,58654,Diesel,2.1,0,1,0,0,1,0,0,0,10199
3393, C Class,2016,Manual,38764,Diesel,2.1,0,1,0,0,1,0,0,0,14799
3394, C Class,2016,Automatic,33608,Diesel,2.1,1,0,0,0,1,0,0,0,19349
3395, C Class,2018,Automatic,28848,Diesel,2.1,1,0,0,0,1,0,0,0,18799
3396, C Class,2017,Automatic,18075,Petrol,3.0,1,0,0,0,0,0,0,1,31750
3397, C Class,2017,Automatic,52160,Hybrid,2.1,1,0,0,0,0,1,0,0,19899
3398, C Class,2016,Automatic,59243,Diesel,2.1,1,0,0,0,1,0,0,0,14999
3399, C Class,2014,Automatic,73598,Diesel,2.1,1,0,0,0,1,0,0,0,14399
3400, C Class,2018,Automatic,10346,Petrol,2.0,1,0,0,0,0,0,0,1,22899
3401, C Class,2014,Automatic,68000,Diesel,1.8,1,0,0,0,1,0,0,0,10995
3402, C Class,2017,Automatic,26213,Diesel,2.1,1,0,0,0,1,0,0,0,21399
3403, C Class,2016,Automatic,86620,Hybrid,2.0,1,0,0,0,0,1,0,0,13295
3404, C Class,2002,Automatic,13800,Diesel,2.7,1,0,0,0,1,0,0,0,1495
3405, C Class,2018,Automatic,16834,Diesel,2.1,1,0,0,0,1,0,0,0,18999
3406, C Class,2018,Automatic,20090,Diesel,2.1,1,0,0,0,1,0,0,0,18799
3407, C Class,2018,Automatic,21315,Diesel,2.1,1,0,0,0,1,0,0,0,18899
3408, C Class,2018,Automatic,14632,Diesel,1.6,1,0,0,0,1,0,0,0,17999
3409, C Class,2016,Automatic,30173,Diesel,2.1,1,0,0,0,1,0,0,0,15699
3410, C Class,2016,Automatic,59290,Hybrid,2.0,1,0,0,0,0,1,0,0,16899
3411, C Class,2017,Automatic,50216,Hybrid,2.0,1,0,0,0,0,1,0,0,18299
3412, C Class,2016,Automatic,22525,Diesel,1.6,1,0,0,0,1,0,0,0,16499
3413, C Class,2015,Automatic,30701,Diesel,2.1,1,0,0,0,1,0,0,0,16729
3414, C Class,2015,Automatic,25958,Diesel,2.1,1,0,0,0,1,0,0,0,16299
3415, C Class,2018,Automatic,17973,Diesel,2.1,1,0,0,0,1,0,0,0,19980
3416, C Class,2015,Automatic,41267,Diesel,2.1,1,0,0,0,1,0,0,0,15980
3417, C Class,2018,Automatic,13500,Petrol,3.0,1,0,0,0,0,0,0,1,34680
3418, C Class,2015,Automatic,109050,Hybrid,2.1,1,0,0,0,0,1,0,0,14795
3419, C Class,2016,Manual,117760,Diesel,2.1,0,1,0,0,1,0,0,0,10500
3420, C Class,2017,Automatic,54700,Hybrid,2.1,1,0,0,0,0,1,0,0,15000
3421, C Class,2016,Automatic,76200,Diesel,2.1,1,0,0,0,1,0,0,0,15000
3422, C Class,2015,Automatic,74044,Diesel,2.1,1,0,0,0,1,0,0,0,13362
3423, C Class,2007,Automatic,50500,Petrol,1.8,1,0,0,0,0,0,0,1,5995
3424, C Class,2016,Automatic,49846,Diesel,2.1,1,0,0,0,1,0,0,0,15475
3425, C Class,2002,Automatic,82700,Diesel,2.7,1,0,0,0,1,0,0,0,1295
3426, C Class,2012,Automatic,51122,Diesel,2.2,1,0,0,0,1,0,0,0,8495
3427, C Class,2015,Automatic,40005,Diesel,2.1,1,0,0,0,1,0,0,0,12000
3428, C Class,2016,Manual,61140,Diesel,2.1,0,1,0,0,1,0,0,0,13499
3429, C Class,2016,Automatic,80195,Diesel,2.1,1,0,0,0,1,0,0,0,14999
3430, C Class,2012,Automatic,54275,Diesel,2.1,1,0,0,0,1,0,0,0,9099
3431, C Class,2016,Manual,63478,Diesel,2.1,0,1,0,0,1,0,0,0,15499
3432, C Class,2013,Automatic,63930,Diesel,2.1,1,0,0,0,1,0,0,0,10999
3433, C Class,2015,Automatic,48191,Diesel,2.1,1,0,0,0,1,0,0,0,17149
3434, C Class,2016,Automatic,49586,Diesel,2.1,1,0,0,0,1,0,0,0,15399
3435, C Class,2018,Automatic,20892,Petrol,2.0,1,0,0,0,0,0,0,1,21999
3436, C Class,2017,Manual,18862,Petrol,2.0,0,1,0,0,0,0,0,1,14399
3437, C Class,2017,Automatic,35652,Hybrid,2.0,1,0,0,0,0,1,0,0,17499
3438, C Class,2016,Automatic,53613,Diesel,2.1,1,0,0,0,1,0,0,0,17799
3439, C Class,2015,Automatic,37000,Diesel,2.1,1,0,0,0,1,0,0,0,16500
3440, C Class,2009,Automatic,112000,Diesel,2.1,1,0,0,0,1,0,0,0,5295
3441, C Class,2011,Automatic,120899,Petrol,1.8,1,0,0,0,0,0,0,1,6995
3442, C Class,2012,Automatic,170000,Diesel,2.1,1,0,0,0,1,0,0,0,5250
