,model,year,transmission,mileage,fuelType,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
2929, C Class,2016,Automatic,35822,Diesel,2.1,1,0,0,0,1,0,0,0,16199
2930, C Class,2017,Automatic,29645,Petrol,2.0,1,0,0,0,0,0,0,1,17488
2931, C Class,2017,Automatic,35649,Diesel,2.1,1,0,0,0,1,0,0,0,18999
2932, C Class,2018,Automatic,29970,Petrol,2.0,1,0,0,0,0,0,0,1,16799
2933, C Class,2015,Automatic,79520,Diesel,2.1,1,0,0,0,1,0,0,0,10499
2934, C Class,2016,Automatic,38154,Hybrid,2.1,1,0,0,0,0,1,0,0,19599
2935, C Class,2017,Manual,12146,Diesel,1.6,0,1,0,0,1,0,0,0,16999
2936, C Class,2012,Automatic,60586,Diesel,2.1,1,0,0,0,1,0,0,0,9124
2937, C Class,2016,Automatic,44617,Diesel,2.1,1,0,0,0,1,0,0,0,15999
2938, C Class,2018,Automatic,6232,Diesel,2.0,1,0,0,0,1,0,0,0,27649
2939, C Class,2018,Automatic,8796,Petrol,1.5,1,0,0,0,0,0,0,1,23249
2940, C Class,2019,Semi-Auto,13467,Diesel,2.0,0,0,0,1,1,0,0,0,20999
2941, C Class,2019,Semi-Auto,13318,Diesel,2.0,0,0,0,1,1,0,0,0,20999
2942, C Class,2018,Automatic,10913,Diesel,2.1,1,0,0,0,1,0,0,0,25999
2943, C Class,2016,Semi-Auto,30611,Diesel,2.1,0,0,0,1,1,0,0,0,19699
2944, C Class,2019,Semi-Auto,3220,Petrol,3.0,0,0,0,1,0,0,0,1,38999
2945, C Class,2019,Semi-Auto,3598,Diesel,1.6,0,0,0,1,1,0,0,0,27099
2946, C Class,2019,Semi-Auto,14895,Diesel,2.0,0,0,0,1,1,0,0,0,25999
